DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME,HELPER
1/7/2022,74,VCB,74.5,75,72.9,1380000,157
4/7/2022,74.1,VCB,74.9,75.2,73.9,746200,156
5/7/2022,74,VCB,74.9,74.9,73.6,1060000,155
6/7/2022,72.8,VCB,73.7,73.9,68.9,1550000,154
7/7/2022,75.5,VCB,72.7,75.5,71.7,1260000,153
8/7/2022,74,VCB,74.9,75,73.9,761000,152
11/7/2022,72,VCB,73.3,73.5,72,660800,151
12/7/2022,71.9,VCB,72.1,72.6,71.7,811500,150
13/07/2022,71.8,VCB,71.8,73.4,71.4,1380000,149
14/07/2022,72.4,VCB,71.8,72.8,71.6,329400,148
15/07/2022,72.3,VCB,72.1,73.5,72.1,597500,147
18/07/2022,72,VCB,72.5,72.9,72,391400,146
19/07/2022,71.3,VCB,72,72.1,71.1,812100,145
20/07/2022,72.5,VCB,71.6,72.5,71.6,544900,144
21/07/2022,72.5,VCB,72.5,72.9,72.1,1160000,143
22/07/2022,72.5,VCB,72.1,72.7,72,1010000,142
25/07/2022,72.9,VCB,72.4,73.2,72,962700,141
26/07/2022,73.9,VCB,73.2,74.4,73.2,1120000,140
27/07/2022,75,VCB,74,75,73.7,1260000,139
28/07/2022,75.3,VCB,75.4,75.6,74.8,1160000,138
29/07/2022,74.7,VCB,75.4,75.5,74.7,1180000,137
1/8/2022,77,VCB,74.7,77,74.4,1580000,136
2/8/2022,78.9,VCB,77,79.2,76,1780000,135
3/8/2022,79.5,VCB,78.3,79.5,78,1010000,134
4/8/2022,82.5,VCB,79.5,82.5,79.4,2260000,133
5/8/2022,82,VCB,82,82.4,81.1,1400000,132
8/8/2022,82,VCB,82,82.5,81.9,915000,131
9/8/2022,80.8,VCB,82,82,79.9,1220000,130
10/8/2022,80.5,VCB,80.1,81,80.1,507500,129
11/8/2022,81.5,VCB,81.3,82,80.6,1170000,128
12/8/2022,81.6,VCB,81.5,81.9,80.9,1250000,127
15/08/2022,81.8,VCB,82,82.3,81.7,1260000,126
16/08/2022,81.5,VCB,82,82,81.1,687100,125
17/08/2022,81.5,VCB,81.2,81.7,81.2,764000,124
18/08/2022,81.5,VCB,81.3,82,81.2,1570000,123
19/08/2022,80.9,VCB,80.6,82,80.6,1150000,122
22/08/2022,80,VCB,80.1,81.5,80,525800,121
23/08/2022,80.2,VCB,80,81.3,79.9,648000,120
24/08/2022,82,VCB,81.2,82.9,80.3,1080000,119
25/08/2022,82,VCB,82.2,82.2,81.3,538800,118
26/08/2022,82.5,VCB,82,83.7,82,1560000,117
29/08/2022,82.5,VCB,81.4,82.5,80.9,951500,116
30/08/2022,86,VCB,82.5,86,82.5,2500000,115
31/08/2022,84,VCB,86,86.5,84,1060000,114
5/9/2022,82.6,VCB,84,84.3,82.5,1550000,113
6/9/2022,82.7,VCB,82.6,84,82.1,1030000,112
7/9/2022,80,VCB,82,82.5,79.8,2290000,111
8/9/2022,78,VCB,80.9,80.9,78,1070000,110
9/9/2022,78.8,VCB,78.5,79.3,78.2,1030000,109
12/9/2022,79.1,VCB,79.6,79.7,78.8,700800,108
13/09/2022,78.6,VCB,79.4,79.4,78.6,1190000,107
14/09/2022,78.3,VCB,77.2,79.5,77,1090000,106
15/09/2022,79.2,VCB,78.5,79.3,78.1,611900,105
16/09/2022,80,VCB,79.3,80,78.5,1520000,104
19/09/2022,78.8,VCB,79,80.2,78,938500,103
20/09/2022,79.2,VCB,78.8,80,78.6,521200,102
21/09/2022,78.9,VCB,79.3,79.6,77.9,499200,101
22/09/2022,78,VCB,77.7,78.6,77.5,1180000,100
23/09/2022,75.9,VCB,77.2,77.7,75.8,1030000,99
26/09/2022,75,VCB,75.1,77,74.1,1260000,98
27/09/2022,74.3,VCB,76,76,74.2,653400,97
28/09/2022,75,VCB,74,75,73.8,587700,96
29/09/2022,74,VCB,76,76,74,587800,95
30/09/2022,73.2,VCB,73.2,74.3,72.4,1260000,94
3/10/2022,70.6,VCB,73.5,73.8,70.3,894900,93
4/10/2022,71.3,VCB,70,71.9,69.5,1280000,92
5/10/2022,71.5,VCB,71.4,72,71.1,835000,91
6/10/2022,70.1,VCB,72,72,69.9,751500,90
7/10/2022,66.7,VCB,69.6,69.6,65.3,2110000,89
10/10/2022,65.1,VCB,66.5,67.7,64.1,1320000,88
11/10/2022,62,VCB,65.3,66,62,1160000,87
12/10/2022,64,VCB,63,65.3,62.2,1520000,86
13/10/2022,66.5,VCB,64.1,66.5,62.7,1600000,85
14/10/2022,68.1,VCB,68.5,68.5,67.3,1600000,84
17/10/2022,66.3,VCB,67.3,68,65.5,1240000,83
18/10/2022,67.7,VCB,68,68,67.3,885000,82
19/10/2022,67.9,VCB,67.9,68,67.3,627400,81
20/10/2022,69.2,VCB,67.9,70,67.1,1520000,80
21/10/2022,68,VCB,69.2,70.7,68,1280000,79
24/10/2022,68,VCB,69.5,69.5,65.8,670100,78
25/10/2022,69.9,VCB,66,70.6,66,1540000,77
26/10/2022,70,VCB,70.6,70.6,68.5,591400,76
27/10/2022,71.7,VCB,70.5,72.9,69.3,1300000,75
28/10/2022,71.6,VCB,72.5,74.5,71.6,1560000,74
31/10/2022,73.5,VCB,73.5,73.5,72.5,659400,73
1/11/2022,75,VCB,74,75,73.3,826100,72
2/11/2022,73.6,VCB,74,74.5,72,1260000,71
3/11/2022,73,VCB,72,73.4,72,726600,70
4/11/2022,71.8,VCB,71.5,72.5,68.9,1540000,69
7/11/2022,71.8,VCB,71.8,73,71.1,1230000,68
