DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME,HELPER
30/06/2009,60,VCB,60,60,60,294070,3246
1/7/2009,60.5,VCB,63,63,59.5,6248390,3245
2/7/2009,58,VCB,59.5,60,57.5,1515670,3244
3/7/2009,56,VCB,56.5,57,56,899720,3243
6/7/2009,58.5,VCB,56,58.5,56,1571740,3242
7/7/2009,56.5,VCB,57.5,58,56.5,1115420,3241
8/7/2009,55.5,VCB,55,56,54.5,763030,3240
9/7/2009,54,VCB,54.5,56,53.5,982430,3239
10/7/2009,51.5,VCB,53,53.5,51.5,1973450,3238
13/07/2009,49,VCB,50,51.5,49,812260,3237
14/07/2009,47.8,VCB,49.2,49.2,47.5,847840,3236
15/07/2009,49,VCB,48,49.8,48,807250,3235
16/07/2009,49.8,VCB,50,50,49.4,638990,3234
17/07/2009,49.1,VCB,49.5,49.7,48.8,311000,3233
20/07/2009,46.8,VCB,47.1,47.3,46.7,869220,3232
21/07/2009,46.9,VCB,47.2,47.7,46.8,483900,3231
22/07/2009,47.5,VCB,47.5,47.6,47.2,411780,3230
23/07/2009,49.8,VCB,47,49.8,47,929090,3229
24/07/2009,52,VCB,52,52,52,624760,3228
27/07/2009,54.5,VCB,54.5,54.5,52.5,1535460,3227
28/07/2009,53,VCB,54.5,56,52.5,1192800,3226
29/07/2009,52.5,VCB,53.5,54,51.5,924570,3225
30/07/2009,51.5,VCB,52,52.5,50.5,606660,3224
31/07/2009,54,VCB,53.5,54,53,1125450,3223
3/8/2009,56.5,VCB,56.5,56.5,55,2707260,3222
4/8/2009,58.5,VCB,59,59,57,1869220,3221
5/8/2009,58,VCB,58,59,57,1654270,3220
6/8/2009,57,VCB,58,59,56.5,1656340,3219
7/8/2009,56.5,VCB,56.5,57.5,56.5,1017420,3218
10/8/2009,57.5,VCB,57,58,56.5,689300,3217
11/8/2009,57,VCB,57,58,56.5,1207840,3216
12/8/2009,56.5,VCB,57.5,57.5,56.5,996150,3215
13/08/2009,57,VCB,57.5,57.5,56.5,896790,3214
14/08/2009,57,VCB,56.5,57.5,56.5,709790,3213
17/08/2009,56,VCB,56.5,57,56,622790,3212
18/08/2009,55.5,VCB,55,56,55,927850,3211
19/08/2009,55.5,VCB,56.5,56.5,55,719390,3210
20/08/2009,55.5,VCB,56,56,55,578130,3209
21/08/2009,56,VCB,56,58,56,1444220,3208
24/08/2009,56.5,VCB,57,57,56,634370,3207
25/08/2009,55.5,VCB,56.5,56.5,55.5,577480,3206
26/08/2009,56,VCB,56,56.5,55.5,516120,3205
27/08/2009,56,VCB,56,56,55.5,538870,3204
28/08/2009,56.5,VCB,56.5,56.5,56,639140,3203
31/08/2009,57.5,VCB,57.5,57.5,56.5,874340,3202
1/9/2009,57,VCB,56.5,57.5,56.5,847070,3201
3/9/2009,56,VCB,56,56.5,54.5,1078760,3200
4/9/2009,54.5,VCB,56,56,54.5,1015060,3199
7/9/2009,53,VCB,53,54.5,52,954060,3198
8/9/2009,53.5,VCB,54,54,53,687300,3197
9/9/2009,53.5,VCB,53.5,54,53,682660,3196
10/9/2009,53,VCB,53,53.5,53,412250,3195
11/9/2009,53,VCB,53,53.5,52.5,416470,3194
14/09/2009,53,VCB,53,53.5,52.5,588470,3193
15/09/2009,52.5,VCB,53.5,53.5,52.5,727020,3192
16/09/2009,55,VCB,55,55,55,879780,3191
17/09/2009,56,VCB,57.5,57.5,54,2195540,3190
18/09/2009,56.5,VCB,55,56.5,54,850000,3189
21/09/2009,55,VCB,56.5,56.5,55,761980,3188
22/09/2009,54,VCB,54,55,54,658880,3187
23/09/2009,54.5,VCB,55,56,54.5,757950,3186
24/09/2009,53.5,VCB,54,54.5,53.5,541670,3185
25/09/2009,55.5,VCB,53.5,56,53,933140,3184
28/09/2009,54.5,VCB,56,56,54.5,561480,3183
29/09/2009,54,VCB,55,55,53.5,750310,3182
30/09/2009,53.5,VCB,54,54.5,53,712000,3181
1/10/2009,52.5,VCB,53.5,53.5,52.5,875180,3180
2/10/2009,51,VCB,51.5,51.5,50,1416100,3179
5/10/2009,51,VCB,51.5,51.5,50,606370,3178
6/10/2009,50.5,VCB,51.5,51.5,50.5,460990,3177
7/10/2009,51,VCB,51,51.5,50.5,596580,3176
8/10/2009,51,VCB,51.5,51.5,50.5,448600,3175
9/10/2009,51.5,VCB,51.5,52,51,794860,3174
12/10/2009,53,VCB,52,53,51.5,759120,3173
13/10/2009,52,VCB,53,53,51,513610,3172
14/10/2009,54.5,VCB,51.5,54.5,51.5,1359110,3171
15/10/2009,57,VCB,57,57,56,3378300,3170
16/10/2009,56.5,VCB,57.5,59,56.5,2239820,3169
19/10/2009,55,VCB,55,56.5,54.5,1015080,3168
20/10/2009,54.5,VCB,55.5,56,54.5,909450,3167
21/10/2009,54,VCB,54.5,54.5,54,1038410,3166
22/10/2009,55,VCB,54.5,55,54,865390,3165
23/10/2009,56.5,VCB,55.5,57.5,55,3946240,3164
26/10/2009,55,VCB,57,57.5,54.5,1130810,3163
27/10/2009,53,VCB,53,54.5,52.5,1594080,3162
28/10/2009,53,VCB,54,54,52.5,623620,3161
29/10/2009,51,VCB,51.5,52.5,50.5,3489050,3160
30/10/2009,52,VCB,52.5,53,51,1302800,3159
2/11/2009,53,VCB,52,53,50.5,2142950,3158
3/11/2009,51.5,VCB,52.5,53,50.5,1390550,3157
4/11/2009,51.5,VCB,52,52.5,51,788110,3156
5/11/2009,53,VCB,51.5,53.5,51.5,997290,3155
6/11/2009,51.5,VCB,53,53.5,51.5,905910,3154
9/11/2009,50.5,VCB,51,52,50.5,1193030,3153
10/11/2009,49.6,VCB,51,51.5,49.6,813300,3152
11/11/2009,50,VCB,50,50.5,49.5,657810,3151
12/11/2009,50.5,VCB,50.5,51,49.8,948480,3150
13/11/2009,49.8,VCB,50,50,49.6,703390,3149
16/11/2009,49.6,VCB,49.5,50,49.5,770120,3148
17/11/2009,48.9,VCB,49.4,49.5,48.9,601790,3147
18/11/2009,48.3,VCB,48.5,48.8,48.1,536330,3146
19/11/2009,48.9,VCB,48.4,49.3,48,533380,3145
20/11/2009,48.2,VCB,48.9,48.9,48.2,585050,3144
23/11/2009,47.2,VCB,48,48.1,47.2,771170,3143
24/11/2009,46.3,VCB,47,47.1,46.3,585000,3142
25/11/2009,44,VCB,46,46,44,1319610,3141
26/11/2009,41.8,VCB,42.5,42.9,41.8,1859930,3140
27/11/2009,43.8,VCB,39.8,43.8,39.8,947680,3139
30/11/2009,45.9,VCB,44.8,45.9,44.5,715590,3138
1/12/2009,48.1,VCB,48,48.1,47.5,943350,3137
2/12/2009,47,VCB,47,48.9,45.7,796240,3136
3/12/2009,47,VCB,46,47.5,45.7,485690,3135
4/12/2009,46.2,VCB,47.2,47.2,46,267060,3134
7/12/2009,46,VCB,45.6,46.3,45.6,275960,3133
8/12/2009,44.7,VCB,46,46,44.5,537020,3132
9/12/2009,43,VCB,43.1,43.4,42.7,865220,3131
10/12/2009,42.7,VCB,43.6,43.6,42.7,533130,3130
11/12/2009,40.8,VCB,42,42.5,40.7,749300,3129
14/12/2009,42.8,VCB,42.8,42.8,41.8,459670,3128
15/12/2009,44.9,VCB,42.8,44.9,42.5,976610,3127
16/12/2009,43,VCB,44.9,45,43,889550,3126
17/12/2009,44,VCB,42.8,45,42,462480,3125
18/12/2009,46.2,VCB,45,46.2,45,722180,3124
21/12/2009,47.6,VCB,46.2,48,46.2,561830,3123
22/12/2009,46.6,VCB,46,47.2,46,387540,3122
23/12/2009,46.2,VCB,46.6,46.6,46,296080,3121
24/12/2009,46,VCB,45.6,46,45.5,396050,3120
25/12/2009,47,VCB,48,48,47,685690,3119
28/12/2009,46,VCB,46.1,46.4,45.9,264190,3118
29/12/2009,45.2,VCB,45,46.5,45,342830,3117
30/12/2009,45.6,VCB,44.8,45.9,44.8,208290,3116
31/12/2009,47,VCB,46,47,45.6,398120,3115
4/1/2010,49.3,VCB,47,49.3,47,598640,3114
5/1/2010,49.8,VCB,51,51.5,49.3,935140,3113
6/1/2010,48,VCB,48.1,49.8,48,479840,3112
7/1/2010,47,VCB,48,48.1,47,207490,3111
8/1/2010,47,VCB,47.6,47.8,46.9,351610,3110
11/1/2010,47,VCB,47.5,47.5,44.8,207120,3109
12/1/2010,45.5,VCB,46.5,47,45.5,269580,3108
13/01/2010,47,VCB,43.5,47,43.5,469510,3107
14/01/2010,46.4,VCB,47,47.2,46,129590,3106
15/01/2010,45.3,VCB,45.5,45.9,45.3,213500,3105
18/01/2010,43.5,VCB,45,45,43.5,332360,3104
19/01/2010,44.7,VCB,44,44.7,43.8,208770,3103
20/01/2010,43.8,VCB,45.4,45.4,43.8,154590,3102
21/01/2010,43,VCB,43.8,44,43,441690,3101
22/01/2010,42.5,VCB,43,43.5,42.2,331220,3100
25/01/2010,42.5,VCB,42.3,42.6,42.3,161220,3099
26/01/2010,42.8,VCB,43.5,43.7,42.6,279270,3098
27/01/2010,42.8,VCB,43.1,43.5,42.7,168830,3097
28/01/2010,42.3,VCB,42.5,43,42.3,134440,3096
29/01/2010,42,VCB,42.3,42.3,42,162850,3095
1/2/2010,41.8,VCB,42,42.4,41.8,108370,3094
2/2/2010,42.3,VCB,43,43,42,260860,3093
3/2/2010,43.5,VCB,43,43.5,42.8,334020,3092
4/2/2010,44.5,VCB,43.5,44.5,43.4,341670,3091
5/2/2010,43.7,VCB,44,44,43.5,220730,3090
8/2/2010,43.7,VCB,42.9,43.7,42.9,146740,3089
9/2/2010,42.6,VCB,43.2,43.4,42.6,80320,3088
10/2/2010,43.5,VCB,43,43.8,42.6,77640,3087
11/2/2010,44.5,VCB,43.6,44.5,43.6,229520,3086
12/2/2010,44.5,VCB,45,45.1,44.4,191060,3085
22/02/2010,45.2,VCB,45,45.7,45,282530,3084
23/02/2010,45.2,VCB,45.2,45.2,44.6,473230,3083
24/02/2010,46.5,VCB,45.3,46.5,44.8,708110,3082
25/02/2010,47,VCB,46.5,47,45.8,664780,3081
26/02/2010,49,VCB,46.8,49,46.7,896140,3080
1/3/2010,49.8,VCB,49,50,49,569580,3079
2/3/2010,47.4,VCB,48.6,48.9,47.4,438130,3078
3/3/2010,47.8,VCB,47.5,48,47,200550,3077
4/3/2010,47.1,VCB,48,48,47.1,180180,3076
5/3/2010,46.9,VCB,46.9,47.5,46.9,131760,3075
8/3/2010,46.9,VCB,46.9,47.4,46.5,349730,3074
9/3/2010,48,VCB,46.9,48,46.9,423380,3073
10/3/2010,47.9,VCB,47.8,48.1,47.7,268350,3072
11/3/2010,47.5,VCB,48.2,48.2,47.5,90870,3071
12/3/2010,47.5,VCB,47.8,47.8,47.1,200050,3070
15/03/2010,47,VCB,47.5,47.6,47,335920,3069
16/03/2010,45.8,VCB,46.5,46.5,45.8,289410,3068
17/03/2010,45,VCB,46,46.5,45,212650,3067
18/03/2010,45.1,VCB,45,45.5,44.9,262660,3066
